County,Population,Population-growth,Population-density,Income-per-capita,White-not-hispanic-population-percentage,Percent-of-people-25-years-and-over-with-bachelors-degree-or-higher,class
"Charlotte, florida",168474,5.3,235.2,26286,85,21.2,Trump
"Citrus, florida",139377,-1.3,242.8,23148,89,16.6,Trump
"Clay, florida",199798,4.7,315.8,26577,75.5,24,Trump
"Collier, florida",348777,8.5,160.9,36439,64.8,31.7,Trump
"Columbia, florida",67857,0.5,84.7,19306,73.3,13.3,Trump
"DeSoto, florida",35012,0.4,54.7,15088,55.4,10.6,Trump
"Dixie, florida",15907,-3.1,23.3,16851,85.6,8.4,Trump
"Duval, florida",897698,3.9,1133.9,26143,55.6,26.4,Trump
"Escambia, florida",310659,4.4,453.4,23441,65.8,23.7,Trump
"Flagler, florida",102408,7,197.1,24497,75.7,23.3,Trump
"Franklin, florida",11815,2.3,21.6,19843,78.5,14.4,Trump
"Gadsden, florida",46281,-3.1,89.8,17615,33.2,14.9,Clinton
"Gilchrist, florida",16997,0.3,48.4,20180,87.3,11.1,Trump
"Glades, florida",13635,5.8,16,16011,60.6,12.2,Trump
"Gulf, florida",15944,0.5,28.1,18546,73.8,13.6,Trump
"Hamilton, florida",14048,-5.1,28.8,16295,54.8,9.4,Trump
"Hardee, florida",27469,-0.9,43.5,15366,47.6,8.8,Trump
"Hendry, florida",38505,-1.6,34,16133,34.5,9.9,Trump
"Hernando, florida",175855,1.8,365.6,21411,80.8,15.5,Trump
"Highlands, florida",98236,-0.6,97.2,20072,69.2,14.9,Trump
"Hillsborough, florida",1316298,7.1,1204.9,27149,52.3,29.5,Clinton
"Holmes, florida",19650,-1.4,41.6,16845,87.2,12,Trump
"Indian River, florida",144755,4.9,274.5,30532,76.7,26.6,Trump
"Jackson, florida",48801,-1.9,54.2,17525,66.2,14.2,Trump
"Jefferson, florida",14050,-4.8,24.7,21184,58.7,16.9,Trump
"Lafayette, florida",8835,-0.4,16.3,18660,70.8,9.3,Trump
"Lake, florida",315690,6.3,316.6,24183,73,20.5,Trump
"Lee, florida",679513,9.8,788.7,27348,69.8,24.7,Trump
"Leon, florida",283988,3.1,413.1,26196,58,44.2,Clinton
"Levy, florida",39613,-2.9,36.5,18304,80.3,11.1,Trump
"Liberty, florida",8360,-0.1,10,16266,72.2,12.8,Trump
"Madison, florida",18518,-3.7,27.6,15538,54.5,9.7,Trump
"Manatee, florida",351746,9,434.5,27322,72.6,26.6,Trump
"Marion, florida",339167,2.4,209.1,21992,72.7,17.4,Trump
"Martin, florida",153392,4.5,269.2,34057,79,29.9,Trump
"Miami-Dade, florida",2662874,6.6,1315.5,23174,15.2,26.3,Clinton
"Monroe, florida",77136,5.5,74.3,33974,69,28,Trump
"Nassau, florida",76619,4.5,113,28926,87.2,22.8,Trump
"Okaloosa, florida",196512,8.7,194.4,28600,75.2,27.4,Trump
"Okeechobee, florida",39149,-2.1,52,17787,64,10.2,Trump
"Orange, florida",1253001,9.3,1268.5,24877,44.1,30.1,Clinton
"Osceola, florida",310211,15.5,202.4,19007,37.3,17.6,Clinton
"Palm Beach, florida",1397710,5.9,670.2,32858,58.2,32.4,Clinton
"Pasco, florida",485331,4.4,622.2,23736,78.2,20.4,Trump
"Pinellas, florida",938098,2.3,3347.5,29262,75.8,27.5,Trump
"Polk, florida",634638,5.4,334.9,21285,62.8,18.1,Trump
"Putnam, florida",72143,-3,102.2,18377,72,11.4,Trump
"Santa Rosa, florida",163422,8,149.6,26861,83,25.9,Trump
"Sarasota, florida",396962,4.6,682.6,32313,84,30.8,Trump
"Seminole, florida",442516,4.7,1367,28675,64.4,35,Trump
"St. Johns, florida",217919,14.7,316.4,36836,84.5,41.4,Trump
"St. Lucie, florida",291028,5,485.7,23285,60.1,19.5,Trump
"Sumter, florida",114350,22.4,170.8,27504,84.2,25.2,Trump
"Suwannee, florida",44022,5.9,60.3,18431,75.5,9.8,Trump
"Taylor, florida",22582,0.1,21.6,17045,72.3,11.6,Trump
"Union, florida",15190,-2.2,63.8,13590,70.7,10,Trump
"Volusia, florida",507531,2.6,449.2,23973,74.3,20.8,Trump
"Wakulla, florida",31432,2.1,50.8,21797,78.8,17.2,Trump
"Walton, florida",61530,11.8,53,25845,84.1,24.1,Trump
"Washington, florida",24451,-1.8,42.7,17385,77.5,11.4,Trump
